Datetime,Precipitation_mm
31/08/2010 16:00,0
31/08/2010 16:30,0
31/08/2010 17:00,0
31/08/2010 17:30,0
31/08/2010 18:00,0
31/08/2010 18:30,0
31/08/2010 19:00,0
31/08/2010 19:30,0
31/08/2010 20:00,0
31/08/2010 20:30,0.2
31/08/2010 21:00,0.2
31/08/2010 21:30,0.2
31/08/2010 22:00,0
31/08/2010 22:30,0.2
31/08/2010 23:00,0
31/08/2010 23:30,0
1/09/2010 0:00,0.2
1/09/2010 0:30,0.2
1/09/2010 1:00,0
1/09/2010 1:30,0
1/09/2010 2:00,0
1/09/2010 2:30,0
1/09/2010 3:00,0
1/09/2010 3:30,0
1/09/2010 4:00,0
1/09/2010 4:30,0
1/09/2010 5:00,0
1/09/2010 5:30,0.2
1/09/2010 6:00,0
1/09/2010 6:30,0.2
1/09/2010 7:00,0.2
1/09/2010 7:30,0.2
1/09/2010 8:00,0
1/09/2010 8:30,0
1/09/2010 9:00,0.2
1/09/2010 9:30,0
1/09/2010 10:00,0
1/09/2010 10:30,0
1/09/2010 11:00,0
1/09/2010 11:30,0
1/09/2010 12:00,0
1/09/2010 12:30,0
1/09/2010 13:00,0
1/09/2010 13:30,0
1/09/2010 14:00,0
1/09/2010 14:30,0.2
1/09/2010 15:00,0
1/09/2010 15:30,0.4
1/09/2010 16:00,0.6
1/09/2010 16:30,0.4
1/09/2010 17:00,0.2
1/09/2010 17:30,0.2
1/09/2010 18:00,0
1/09/2010 18:30,0
1/09/2010 19:00,0
1/09/2010 19:30,0
1/09/2010 20:00,0.2
1/09/2010 20:30,0
1/09/2010 21:00,0
1/09/2010 21:30,0
1/09/2010 22:00,0
1/09/2010 22:30,0
1/09/2010 23:00,0
1/09/2010 23:30,0
2/09/2010 0:00,0
2/09/2010 0:30,0
2/09/2010 1:00,0
2/09/2010 1:30,0
2/09/2010 2:00,0
2/09/2010 2:30,0
2/09/2010 3:00,0
2/09/2010 3:30,0
2/09/2010 4:00,0
2/09/2010 4:30,0
2/09/2010 5:00,0
2/09/2010 5:30,0
2/09/2010 6:00,0
2/09/2010 6:30,0
2/09/2010 7:00,0
2/09/2010 7:30,0
2/09/2010 8:00,0
2/09/2010 8:30,0
2/09/2010 9:00,0
2/09/2010 9:30,0
2/09/2010 10:00,0
2/09/2010 10:30,0
2/09/2010 11:00,0
2/09/2010 11:30,0
2/09/2010 12:00,0
2/09/2010 12:30,0
2/09/2010 13:00,0
2/09/2010 13:30,0
2/09/2010 14:00,0
2/09/2010 14:30,0
2/09/2010 15:00,0
2/09/2010 15:30,0
2/09/2010 16:00,0
2/09/2010 16:30,0
2/09/2010 17:00,0
2/09/2010 17:30,0
2/09/2010 18:00,0
2/09/2010 18:30,0
2/09/2010 19:00,0
2/09/2010 19:30,0
2/09/2010 20:00,0
2/09/2010 20:30,0
2/09/2010 21:00,0
2/09/2010 21:30,0
2/09/2010 22:00,0
2/09/2010 22:30,0
2/09/2010 23:00,0
2/09/2010 23:30,0
3/09/2010 0:00,0
3/09/2010 0:30,0
3/09/2010 1:00,0
3/09/2010 1:30,0
3/09/2010 2:00,0
3/09/2010 2:30,0
3/09/2010 3:00,0
3/09/2010 3:30,0
3/09/2010 4:00,0
3/09/2010 4:30,0
3/09/2010 5:00,0
3/09/2010 5:30,0
3/09/2010 6:00,0
3/09/2010 6:30,0
3/09/2010 7:00,0
3/09/2010 7:30,0
3/09/2010 8:00,0
3/09/2010 8:30,0
3/09/2010 9:00,0
3/09/2010 9:30,0.6
3/09/2010 10:00,1
3/09/2010 10:30,0.6
3/09/2010 11:00,1.2
3/09/2010 11:30,1.2
3/09/2010 12:00,3
3/09/2010 12:30,2
3/09/2010 13:00,2.6
3/09/2010 13:30,4.4
3/09/2010 14:00,1.4
3/09/2010 14:30,1.2
3/09/2010 15:00,0.2
3/09/2010 15:30,0.2
3/09/2010 16:00,0
3/09/2010 16:30,1.4
3/09/2010 17:00,4.6
3/09/2010 17:30,0.6
3/09/2010 18:00,0
3/09/2010 18:30,0
3/09/2010 19:00,0
3/09/2010 19:30,0
3/09/2010 20:00,0
3/09/2010 20:30,0
3/09/2010 21:00,0.2
3/09/2010 21:30,0
3/09/2010 22:00,0
3/09/2010 22:30,0
3/09/2010 23:00,0
3/09/2010 23:30,0
4/09/2010 0:00,0
4/09/2010 0:30,0
4/09/2010 1:00,0
4/09/2010 1:30,0
4/09/2010 2:00,0
4/09/2010 2:30,0
4/09/2010 3:00,0.4
4/09/2010 3:30,0.2
4/09/2010 4:00,0
4/09/2010 4:30,0.4
4/09/2010 5:00,0.2
4/09/2010 5:30,0
4/09/2010 6:00,0
4/09/2010 6:30,0
4/09/2010 7:00,0
4/09/2010 7:30,0
4/09/2010 8:00,0
4/09/2010 8:30,0.2
4/09/2010 9:00,0
4/09/2010 9:30,0
4/09/2010 10:00,0
4/09/2010 10:30,0
4/09/2010 11:00,0.4
4/09/2010 11:30,0
4/09/2010 12:00,0
4/09/2010 12:30,0
4/09/2010 13:00,0
4/09/2010 13:30,0
4/09/2010 14:00,0.2
4/09/2010 14:30,0.4
4/09/2010 15:00,0
4/09/2010 15:30,0.4
4/09/2010 16:00,0
4/09/2010 16:30,0
4/09/2010 17:00,0.2
4/09/2010 17:30,0
4/09/2010 18:00,0.2
4/09/2010 18:30,0.6
4/09/2010 19:00,0
4/09/2010 19:30,0
4/09/2010 20:00,0
4/09/2010 20:30,0
4/09/2010 21:00,0
4/09/2010 21:30,0
4/09/2010 22:00,0
4/09/2010 22:30,0
4/09/2010 23:00,0
4/09/2010 23:30,0
5/09/2010 0:00,0
5/09/2010 0:30,0
5/09/2010 1:00,0
5/09/2010 1:30,0
5/09/2010 2:00,0
5/09/2010 2:30,0
5/09/2010 3:00,0
5/09/2010 3:30,0
5/09/2010 4:00,0
5/09/2010 4:30,0
5/09/2010 5:00,0
5/09/2010 5:30,0
5/09/2010 6:00,0
5/09/2010 6:30,0
5/09/2010 7:00,0
5/09/2010 7:30,0
5/09/2010 8:00,0
5/09/2010 8:30,0
5/09/2010 9:00,0
5/09/2010 9:30,0
5/09/2010 10:00,0
5/09/2010 10:30,0
5/09/2010 11:00,0
5/09/2010 11:30,0
5/09/2010 12:00,0
5/09/2010 12:30,0
5/09/2010 13:00,0
5/09/2010 13:30,1.2
5/09/2010 14:00,1.8
5/09/2010 14:30,2
5/09/2010 15:00,0.6
5/09/2010 15:30,0.4
5/09/2010 16:00,0.4
5/09/2010 16:30,0.4
5/09/2010 17:00,0.4
5/09/2010 17:30,0.4
5/09/2010 18:00,1
5/09/2010 18:30,0.6
5/09/2010 19:00,0
5/09/2010 19:30,0
5/09/2010 20:00,0
5/09/2010 20:30,0.2
5/09/2010 21:00,0
5/09/2010 21:30,1
5/09/2010 22:00,0
5/09/2010 22:30,0
5/09/2010 23:00,0
5/09/2010 23:30,0
6/09/2010 0:00,0
6/09/2010 0:30,0
6/09/2010 1:00,0
6/09/2010 1:30,0
6/09/2010 2:00,0
6/09/2010 2:30,0
6/09/2010 3:00,0
6/09/2010 3:30,0
6/09/2010 4:00,0
6/09/2010 4:30,0
6/09/2010 5:00,0
6/09/2010 5:30,0
6/09/2010 6:00,0
6/09/2010 6:30,0
6/09/2010 7:00,0
6/09/2010 7:30,0
6/09/2010 8:00,0
6/09/2010 8:30,0
6/09/2010 9:00,0
6/09/2010 9:30,0
6/09/2010 10:00,0
6/09/2010 10:30,0
6/09/2010 11:00,0
6/09/2010 11:30,0
6/09/2010 12:00,0
6/09/2010 12:30,0
6/09/2010 13:00,0
6/09/2010 13:30,0
6/09/2010 14:00,0
6/09/2010 14:30,0
6/09/2010 15:00,0
6/09/2010 15:30,0
6/09/2010 16:00,0
6/09/2010 16:30,0
6/09/2010 17:00,0
6/09/2010 17:30,0
6/09/2010 18:00,0
6/09/2010 18:30,0
6/09/2010 19:00,0
6/09/2010 19:30,0
6/09/2010 20:00,0
6/09/2010 20:30,0
6/09/2010 21:00,0
6/09/2010 21:30,0
6/09/2010 22:00,0
6/09/2010 22:30,0
6/09/2010 23:00,0
6/09/2010 23:30,0
7/09/2010 0:00,0
7/09/2010 0:30,0
7/09/2010 1:00,0
7/09/2010 1:30,0
7/09/2010 2:00,0
7/09/2010 2:30,0
7/09/2010 3:00,0
7/09/2010 3:30,0
7/09/2010 4:00,0
7/09/2010 4:30,0
7/09/2010 5:00,0
7/09/2010 5:30,0
7/09/2010 6:00,0
7/09/2010 6:30,0
7/09/2010 7:00,0
7/09/2010 7:30,0
7/09/2010 8:00,0
7/09/2010 8:30,0
7/09/2010 9:00,0
7/09/2010 9:30,0
7/09/2010 10:00,0
7/09/2010 10:30,0
7/09/2010 11:00,0
7/09/2010 11:30,0
7/09/2010 12:00,0
7/09/2010 12:30,0
7/09/2010 13:00,0
7/09/2010 13:30,0
7/09/2010 14:00,0
7/09/2010 14:30,0
7/09/2010 15:00,0
7/09/2010 15:30,0
7/09/2010 16:00,0
7/09/2010 16:30,0
7/09/2010 17:00,0
7/09/2010 17:30,0
7/09/2010 18:00,0
7/09/2010 18:30,0
7/09/2010 19:00,0
7/09/2010 19:30,0
7/09/2010 20:00,0
7/09/2010 20:30,0
7/09/2010 21:00,0
7/09/2010 21:30,0
7/09/2010 22:00,0
7/09/2010 22:30,0
7/09/2010 23:00,0
7/09/2010 23:30,0
