Datetime_NST,Pressure_kPa
23/07/2019 15:00,264.962
23/07/2019 16:00,264.974
23/07/2019 17:00,264.987
23/07/2019 18:00,265.01
23/07/2019 19:00,265.013
23/07/2019 20:00,265.039
23/07/2019 21:00,264.977
23/07/2019 22:00,265.077
23/07/2019 23:00,265.029
24/07/2019 0:00,264.92
24/07/2019 1:00,264.948
24/07/2019 2:00,264.872
24/07/2019 3:00,264.856
24/07/2019 4:00,264.853
24/07/2019 5:00,264.965
24/07/2019 6:00,264.908
24/07/2019 7:00,264.936
24/07/2019 8:00,264.984
24/07/2019 9:00,264.98
24/07/2019 10:00,265.07
24/07/2019 11:00,265.045
24/07/2019 12:00,264.971
24/07/2019 13:00,264.946
24/07/2019 14:00,265.016
24/07/2019 15:00,264.875
24/07/2019 16:00,264.882
24/07/2019 17:00,264.808
24/07/2019 18:00,264.814
24/07/2019 19:00,264.946
24/07/2019 20:00,264.911
24/07/2019 21:00,264.946
24/07/2019 22:00,264.949
24/07/2019 23:00,264.93
25/07/2019 0:00,264.991
25/07/2019 1:00,264.815
25/07/2019 2:00,264.86
25/07/2019 3:00,264.786
25/07/2019 4:00,264.773
25/07/2019 5:00,264.77
25/07/2019 6:00,264.834
25/07/2019 7:00,264.747
25/07/2019 8:00,264.757
25/07/2019 9:00,264.766
25/07/2019 10:00,264.764
25/07/2019 11:00,264.705
25/07/2019 12:00,264.664
25/07/2019 13:00,264.642
25/07/2019 14:00,264.622
25/07/2019 15:00,264.571
25/07/2019 16:00,264.501
25/07/2019 17:00,264.501
25/07/2019 18:00,264.495
25/07/2019 19:00,264.492
25/07/2019 20:00,264.418
25/07/2019 21:00,264.488
25/07/2019 22:00,264.45
25/07/2019 23:00,264.424
26/07/2019 0:00,264.536
26/07/2019 1:00,264.452
26/07/2019 2:00,264.457
26/07/2019 3:00,264.434
26/07/2019 4:00,264.396
26/07/2019 5:00,264.319
26/07/2019 6:00,264.322
26/07/2019 7:00,264.37
26/07/2019 8:00,264.313
26/07/2019 9:00,264.42
26/07/2019 10:00,264.351
26/07/2019 11:00,264.411
26/07/2019 12:00,264.274
26/07/2019 13:00,264.297
26/07/2019 14:00,264.235
26/07/2019 15:00,264.334
26/07/2019 16:00,264.241
26/07/2019 17:00,264.351
26/07/2019 18:00,264.286
26/07/2019 19:00,264.322
26/07/2019 20:00,264.386
26/07/2019 21:00,264.364
26/07/2019 22:00,264.331
26/07/2019 23:00,264.386
27/07/2019 0:00,264.428
27/07/2019 1:00,264.338
27/07/2019 2:00,264.417
27/07/2019 3:00,264.354
27/07/2019 4:00,264.417
27/07/2019 5:00,264.402
27/07/2019 6:00,264.315
27/07/2019 7:00,264.409
27/07/2019 8:00,264.446
27/07/2019 9:00,264.447
27/07/2019 10:00,264.441
27/07/2019 11:00,264.479
27/07/2019 12:00,264.441
27/07/2019 13:00,264.386
27/07/2019 14:00,264.39
27/07/2019 15:00,264.441
27/07/2019 16:00,264.431
27/07/2019 17:00,264.38
27/07/2019 18:00,264.328
27/07/2019 19:00,264.434
27/07/2019 20:00,264.472
27/07/2019 21:00,264.463
27/07/2019 22:00,264.437
27/07/2019 23:00,264.456
28/07/2019 0:00,264.386
28/07/2019 1:00,264.392
28/07/2019 2:00,264.357
28/07/2019 3:00,264.325
28/07/2019 4:00,264.319
28/07/2019 5:00,264.361
28/07/2019 6:00,264.297
28/07/2019 7:00,264.328
28/07/2019 8:00,264.284
28/07/2019 9:00,264.348
28/07/2019 10:00,264.424
28/07/2019 11:00,264.283
28/07/2019 12:00,264.328
28/07/2019 13:00,264.239
28/07/2019 14:00,264.229
28/07/2019 15:00,264.102
28/07/2019 16:00,264.168
28/07/2019 17:00,264.181
28/07/2019 18:00,264.187
28/07/2019 19:00,264.187
28/07/2019 20:00,264.14
28/07/2019 21:00,264.126
28/07/2019 22:00,264.136
28/07/2019 23:00,264.162
29/07/2019 0:00,264.134
29/07/2019 1:00,264.04
29/07/2019 2:00,264.108
29/07/2019 3:00,264.018
29/07/2019 4:00,264.031
29/07/2019 5:00,264.086
29/07/2019 6:00,264.002
29/07/2019 7:00,263.986
29/07/2019 8:00,263.999
29/07/2019 9:00,263.97
29/07/2019 10:00,264.002
29/07/2019 11:00,263.973
29/07/2019 12:00,263.874
29/07/2019 13:00,263.887
29/07/2019 14:00,263.81
29/07/2019 15:00,263.871
29/07/2019 16:00,263.881
29/07/2019 17:00,263.816
29/07/2019 18:00,263.737
29/07/2019 19:00,263.746
29/07/2019 20:00,263.791
29/07/2019 21:00,263.724
29/07/2019 22:00,263.852
29/07/2019 23:00,263.733
30/07/2019 0:00,263.781
30/07/2019 1:00,263.727
30/07/2019 2:00,263.724
30/07/2019 3:00,263.759
30/07/2019 4:00,263.755
30/07/2019 5:00,263.769
30/07/2019 6:00,263.641
30/07/2019 7:00,263.685
30/07/2019 8:00,263.769
30/07/2019 9:00,263.794
30/07/2019 10:00,263.759
30/07/2019 11:00,263.753
30/07/2019 12:00,263.749
30/07/2019 13:00,263.609
30/07/2019 14:00,263.654
30/07/2019 15:00,263.67
30/07/2019 16:00,263.611
30/07/2019 17:00,263.586
30/07/2019 18:00,263.692
30/07/2019 19:00,263.689
30/07/2019 20:00,263.624
30/07/2019 21:00,263.586
30/07/2019 22:00,263.58
30/07/2019 23:00,263.602
31/07/2019 0:00,263.616
31/07/2019 1:00,263.564
31/07/2019 2:00,263.615
31/07/2019 3:00,263.48
31/07/2019 4:00,263.519
31/07/2019 5:00,263.468
31/07/2019 6:00,263.394
31/07/2019 7:00,263.417
31/07/2019 8:00,263.538
31/07/2019 9:00,263.522
31/07/2019 10:00,263.474
31/07/2019 11:00,263.503
31/07/2019 12:00,263.465
31/07/2019 13:00,263.452
31/07/2019 14:00,263.395
31/07/2019 15:00,263.449
31/07/2019 16:00,263.513
31/07/2019 17:00,263.478
31/07/2019 18:00,263.548
31/07/2019 19:00,263.573
31/07/2019 20:00,263.606
31/07/2019 21:00,263.583
31/07/2019 22:00,263.611
31/07/2019 23:00,263.628
1/08/2019 0:00,263.557
1/08/2019 1:00,263.647
1/08/2019 2:00,263.667
1/08/2019 3:00,263.686
1/08/2019 4:00,263.621
1/08/2019 5:00,263.631
1/08/2019 6:00,263.606
1/08/2019 7:00,263.628
1/08/2019 8:00,263.592
1/08/2019 9:00,263.635
1/08/2019 10:00,263.743
1/08/2019 11:00,263.797
1/08/2019 12:00,263.644
1/08/2019 13:00,263.74
1/08/2019 14:00,263.667
1/08/2019 15:00,263.707
1/08/2019 16:00,263.727
1/08/2019 17:00,263.717
1/08/2019 18:00,263.743
1/08/2019 19:00,263.673
1/08/2019 20:00,263.833
1/08/2019 21:00,263.756
1/08/2019 22:00,263.855
1/08/2019 23:00,263.813
2/08/2019 0:00,263.842
2/08/2019 1:00,263.903
2/08/2019 2:00,263.845
2/08/2019 3:00,263.829
2/08/2019 4:00,263.878
2/08/2019 5:00,263.8
2/08/2019 6:00,263.887
2/08/2019 7:00,263.871
2/08/2019 8:00,263.819
2/08/2019 9:00,263.874
2/08/2019 10:00,263.945
2/08/2019 11:00,263.845
2/08/2019 12:00,263.845
2/08/2019 13:00,263.775
2/08/2019 14:00,263.89
2/08/2019 15:00,263.826
2/08/2019 16:00,263.769
2/08/2019 17:00,263.704
2/08/2019 18:00,263.765
2/08/2019 19:00,263.781
2/08/2019 20:00,263.855
2/08/2019 21:00,263.807
2/08/2019 22:00,263.81
2/08/2019 23:00,263.827
3/08/2019 0:00,263.718
3/08/2019 1:00,263.714
3/08/2019 2:00,263.724
3/08/2019 3:00,263.753
3/08/2019 4:00,263.73
3/08/2019 5:00,263.73
3/08/2019 6:00,263.81
3/08/2019 7:00,263.782
3/08/2019 8:00,263.829
3/08/2019 9:00,263.833
3/08/2019 10:00,263.804
3/08/2019 11:00,263.816
3/08/2019 12:00,263.715
3/08/2019 13:00,263.813
3/08/2019 14:00,263.701
3/08/2019 15:00,263.692
3/08/2019 16:00,263.673
3/08/2019 17:00,263.606
3/08/2019 18:00,263.657
3/08/2019 19:00,263.638
3/08/2019 20:00,263.711
3/08/2019 21:00,263.568
3/08/2019 22:00,263.73
3/08/2019 23:00,263.692
4/08/2019 0:00,263.663
4/08/2019 1:00,263.635
4/08/2019 2:00,263.615
4/08/2019 3:00,263.602
4/08/2019 4:00,263.586
4/08/2019 5:00,263.602
4/08/2019 6:00,263.621
4/08/2019 7:00,263.567
4/08/2019 8:00,263.621
4/08/2019 9:00,263.557
4/08/2019 10:00,263.689
4/08/2019 11:00,263.573
4/08/2019 12:00,263.596
4/08/2019 13:00,263.545
4/08/2019 14:00,263.465
4/08/2019 15:00,263.487
4/08/2019 16:00,263.437
4/08/2019 17:00,263.513
4/08/2019 18:00,263.471
4/08/2019 19:00,263.407
4/08/2019 20:00,263.478
4/08/2019 21:00,263.478
4/08/2019 22:00,263.426
4/08/2019 23:00,263.548
5/08/2019 0:00,263.388
5/08/2019 1:00,263.481
5/08/2019 2:00,263.437
5/08/2019 3:00,263.51
5/08/2019 4:00,263.442
5/08/2019 5:00,263.382
5/08/2019 6:00,263.445
5/08/2019 7:00,263.493
5/08/2019 8:00,263.465
5/08/2019 9:00,263.522
5/08/2019 10:00,263.448
5/08/2019 11:00,263.506
5/08/2019 12:00,263.481
5/08/2019 13:00,263.448
5/08/2019 14:00,263.43
5/08/2019 15:00,263.449
5/08/2019 16:00,263.448
5/08/2019 17:00,263.57
5/08/2019 18:00,263.503
5/08/2019 19:00,263.532
5/08/2019 20:00,263.507
5/08/2019 21:00,263.513
5/08/2019 22:00,263.529
5/08/2019 23:00,263.551
6/08/2019 0:00,263.589
6/08/2019 1:00,263.516
6/08/2019 2:00,263.458
6/08/2019 3:00,263.484
6/08/2019 4:00,263.49
6/08/2019 5:00,263.519
6/08/2019 6:00,263.525
6/08/2019 7:00,263.522
6/08/2019 8:00,263.535
6/08/2019 9:00,263.57
6/08/2019 10:00,263.513
6/08/2019 11:00,263.494
6/08/2019 12:00,263.43
6/08/2019 13:00,263.413
6/08/2019 14:00,263.394
6/08/2019 15:00,263.34
6/08/2019 16:00,263.292
6/08/2019 17:00,263.285
6/08/2019 18:00,263.343
6/08/2019 19:00,263.41
6/08/2019 20:00,263.298
6/08/2019 21:00,263.318
6/08/2019 22:00,263.369
6/08/2019 23:00,263.369
7/08/2019 0:00,263.269
7/08/2019 1:00,263.353
7/08/2019 2:00,263.292
7/08/2019 3:00,263.266
7/08/2019 4:00,263.152
7/08/2019 5:00,263.158
7/08/2019 6:00,263.167
7/08/2019 7:00,263.257
7/08/2019 8:00,263.186
7/08/2019 9:00,263.197
7/08/2019 10:00,263.212
7/08/2019 11:00,263.161
7/08/2019 12:00,263.126
7/08/2019 13:00,263.024
7/08/2019 14:00,263.014
7/08/2019 15:00,262.997
7/08/2019 16:00,262.956
7/08/2019 17:00,262.854
7/08/2019 18:00,262.927
7/08/2019 19:00,262.886
7/08/2019 20:00,262.905
7/08/2019 21:00,262.937
7/08/2019 22:00,262.873
7/08/2019 23:00,262.914
8/08/2019 0:00,262.842
8/08/2019 1:00,262.761
8/08/2019 2:00,262.723
8/08/2019 3:00,262.71
8/08/2019 4:00,262.694
8/08/2019 5:00,262.716
8/08/2019 6:00,262.547
8/08/2019 7:00,262.601
8/08/2019 8:00,262.627
