Datetime_NST,Pressure_kPa
23/07/2019 15:00,100.817
23/07/2019 16:00,100.857
23/07/2019 17:00,100.882
23/07/2019 18:00,100.884
23/07/2019 19:00,100.909
23/07/2019 20:00,100.973
23/07/2019 21:00,101.031
23/07/2019 22:00,101.017
23/07/2019 23:00,100.978
24/07/2019 0:00,100.975
24/07/2019 1:00,100.939
24/07/2019 2:00,100.928
24/07/2019 3:00,100.918
24/07/2019 4:00,100.899
24/07/2019 5:00,100.89
24/07/2019 6:00,100.965
24/07/2019 7:00,101.007
24/07/2019 8:00,101.063
24/07/2019 9:00,101.098
24/07/2019 10:00,101.144
24/07/2019 11:00,101.092
24/07/2019 12:00,100.974
24/07/2019 13:00,100.904
24/07/2019 14:00,100.878
24/07/2019 15:00,100.879
24/07/2019 16:00,100.865
24/07/2019 17:00,100.959
24/07/2019 18:00,100.986
24/07/2019 19:00,101.045
24/07/2019 20:00,101.111
24/07/2019 21:00,101.138
24/07/2019 22:00,101.107
24/07/2019 23:00,101.082
25/07/2019 0:00,101.038
25/07/2019 1:00,101.017
25/07/2019 2:00,100.953
25/07/2019 3:00,100.889
25/07/2019 4:00,100.852
25/07/2019 5:00,100.867
25/07/2019 6:00,100.888
25/07/2019 7:00,100.849
25/07/2019 8:00,100.878
25/07/2019 9:00,100.941
25/07/2019 10:00,100.899
25/07/2019 11:00,100.802
25/07/2019 12:00,100.723
25/07/2019 13:00,100.607
25/07/2019 14:00,100.575
25/07/2019 15:00,100.557
25/07/2019 16:00,100.567
25/07/2019 17:00,100.619
25/07/2019 18:00,100.614
25/07/2019 19:00,100.646
25/07/2019 20:00,100.693
25/07/2019 21:00,100.722
25/07/2019 22:00,100.705
25/07/2019 23:00,100.705
26/07/2019 0:00,100.661
26/07/2019 1:00,100.609
26/07/2019 2:00,100.593
26/07/2019 3:00,100.562
26/07/2019 4:00,100.516
26/07/2019 5:00,100.514
26/07/2019 6:00,100.574
26/07/2019 7:00,100.595
26/07/2019 8:00,100.649
26/07/2019 9:00,100.69
26/07/2019 10:00,100.685
26/07/2019 11:00,100.65
26/07/2019 12:00,100.554
26/07/2019 13:00,100.528
26/07/2019 14:00,100.513
26/07/2019 15:00,100.522
26/07/2019 16:00,100.542
26/07/2019 17:00,100.599
26/07/2019 18:00,100.696
26/07/2019 19:00,100.731
26/07/2019 20:00,100.772
26/07/2019 21:00,100.833
26/07/2019 22:00,100.887
26/07/2019 23:00,100.862
27/07/2019 0:00,100.851
27/07/2019 1:00,100.86
27/07/2019 2:00,100.803
27/07/2019 3:00,100.803
27/07/2019 4:00,100.796
27/07/2019 5:00,100.837
27/07/2019 6:00,100.873
27/07/2019 7:00,100.917
27/07/2019 8:00,100.956
27/07/2019 9:00,100.995
27/07/2019 10:00,101.041
27/07/2019 11:00,101.033
27/07/2019 12:00,100.935
27/07/2019 13:00,100.846
27/07/2019 14:00,100.832
27/07/2019 15:00,100.856
27/07/2019 16:00,100.899
27/07/2019 17:00,100.93
27/07/2019 18:00,100.908
27/07/2019 19:00,100.996
27/07/2019 20:00,101.065
27/07/2019 21:00,101.012
