Datetime,GW,BA
4/01/2011 0:15,2211.82,26.834
4/01/2011 0:30,2211.815,26.83
4/01/2011 0:45,2211.808,26.827
4/01/2011 1:00,2211.799,26.817
4/01/2011 1:15,2211.794,26.815
4/01/2011 1:30,2211.787,26.809
4/01/2011 1:45,2211.78,26.804
4/01/2011 2:00,2211.771,26.799
4/01/2011 2:15,2211.766,26.793
4/01/2011 2:30,2211.762,26.797
4/01/2011 2:45,2211.762,26.797
4/01/2011 3:00,2211.757,26.793
4/01/2011 3:15,2211.755,26.793
4/01/2011 3:30,2211.755,26.797
4/01/2011 3:45,2211.752,26.795
4/01/2011 4:00,2211.752,26.796
4/01/2011 4:15,2211.75,26.793
4/01/2011 4:30,2211.75,26.793
4/01/2011 4:45,2211.752,26.797
4/01/2011 5:00,2211.755,26.799
4/01/2011 5:15,2211.757,26.8
4/01/2011 5:30,2211.759,26.801
4/01/2011 5:45,2211.762,26.804
4/01/2011 6:00,2211.764,26.805
4/01/2011 6:15,2211.769,26.807
4/01/2011 6:30,2211.773,26.812
4/01/2011 6:45,2211.778,26.816
4/01/2011 7:00,2211.78,26.813
4/01/2011 7:15,2211.783,26.813
4/01/2011 7:30,2211.785,26.815
4/01/2011 7:45,2211.79,26.815
4/01/2011 8:00,2211.792,26.815
4/01/2011 8:15,2211.794,26.813
4/01/2011 8:30,2211.797,26.811
4/01/2011 8:45,2211.799,26.809
4/01/2011 9:00,2211.799,26.808
4/01/2011 9:15,2211.799,26.807
4/01/2011 9:30,2211.799,26.804
4/01/2011 9:45,2211.799,26.805
4/01/2011 10:00,2211.799,26.804
4/01/2011 10:15,2211.797,26.799
4/01/2011 10:30,2211.794,26.799
4/01/2011 10:45,2211.792,26.788
4/01/2011 11:00,2211.785,26.785
4/01/2011 11:15,2211.778,26.779
4/01/2011 11:30,2211.773,26.777
4/01/2011 11:45,2211.764,26.771
4/01/2011 12:00,2211.759,26.767
4/01/2011 12:15,2211.755,26.761
4/01/2011 12:30,2211.747,26.757
4/01/2011 12:45,2211.74,26.756
4/01/2011 13:00,2211.733,26.749
4/01/2011 13:15,2211.724,26.738
4/01/2011 13:30,2211.715,26.736
4/01/2011 13:45,2211.708,26.732
4/01/2011 14:00,2211.698,26.726
4/01/2011 14:15,2211.689,26.721
4/01/2011 14:30,2211.682,26.718
4/01/2011 14:45,2211.675,26.713
4/01/2011 15:00,2211.666,26.71
4/01/2011 15:15,2211.656,26.702
4/01/2011 15:30,2211.649,26.697
4/01/2011 15:45,2211.647,26.695
4/01/2011 16:00,2211.64,26.693
4/01/2011 16:15,2211.638,26.69
4/01/2011 16:30,2211.633,26.686
4/01/2011 16:45,2211.63,26.685
4/01/2011 17:00,2211.628,26.683
4/01/2011 17:15,2211.626,26.678
4/01/2011 17:30,2211.623,26.679
4/01/2011 17:45,2211.623,26.677
4/01/2011 18:00,2211.623,26.673
4/01/2011 18:15,2211.626,26.677
4/01/2011 18:30,2211.628,26.677
4/01/2011 18:45,2211.63,26.678
4/01/2011 19:00,2211.63,26.675
4/01/2011 19:15,2211.635,26.678
4/01/2011 19:30,2211.64,26.682
4/01/2011 19:45,2211.645,26.685
4/01/2011 20:00,2211.649,26.687
4/01/2011 20:15,2211.652,26.687
4/01/2011 20:30,2211.654,26.686
4/01/2011 20:45,2211.656,26.682
4/01/2011 21:00,2211.659,26.686
4/01/2011 21:15,2211.661,26.682
4/01/2011 21:30,2211.659,26.682
4/01/2011 21:45,2211.659,26.677
4/01/2011 22:00,2211.656,26.675
4/01/2011 22:15,2211.652,26.667
4/01/2011 22:30,2211.647,26.666
4/01/2011 22:45,2211.642,26.659
4/01/2011 23:00,2211.642,26.654
4/01/2011 23:15,2211.64,26.653
4/01/2011 23:30,2211.635,26.65
4/01/2011 23:45,2211.628,26.644
4/02/2011 0:00,2211.621,26.64
4/02/2011 0:15,2211.612,26.631
4/02/2011 0:30,2211.602,26.626
4/02/2011 0:45,2211.595,26.62
4/02/2011 1:00,2211.588,26.614
4/02/2011 1:15,2211.581,26.607
4/02/2011 1:30,2211.577,26.606
4/02/2011 1:45,2211.565,26.599
4/02/2011 2:00,2211.558,26.591
4/02/2011 2:15,2211.553,26.591
4/02/2011 2:30,2211.544,26.585
4/02/2011 2:45,2211.539,26.58
4/02/2011 3:00,2211.535,26.581
4/02/2011 3:15,2211.528,26.577
4/02/2011 3:30,2211.521,26.571
4/02/2011 3:45,2211.518,26.571
4/02/2011 4:00,2211.518,26.569
4/02/2011 4:15,2211.518,26.571
4/02/2011 4:30,2211.518,26.575
4/02/2011 4:45,2211.518,26.573
4/02/2011 5:00,2211.516,26.571
4/02/2011 5:15,2211.516,26.573
4/02/2011 5:30,2211.518,26.571
4/02/2011 5:45,2211.518,26.572
4/02/2011 6:00,2211.518,26.573
4/02/2011 6:15,2211.521,26.571
4/02/2011 6:30,2211.518,26.567
4/02/2011 6:45,2211.521,26.569
4/02/2011 7:00,2211.525,26.569
4/02/2011 7:15,2211.528,26.572
4/02/2011 7:30,2211.53,26.569
4/02/2011 7:45,2211.532,26.571
4/02/2011 8:00,2211.539,26.572
4/02/2011 8:15,2211.544,26.576
4/02/2011 8:30,2211.551,26.579
4/02/2011 8:45,2211.546,26.569
4/02/2011 9:00,2211.553,26.572
4/02/2011 9:15,2211.551,26.567
4/02/2011 9:30,2211.553,26.569
4/02/2011 9:45,2211.551,26.565
4/02/2011 10:00,2211.558,26.572
4/02/2011 10:15,2211.558,26.571
4/02/2011 10:30,2211.563,26.571
4/02/2011 10:45,2211.556,26.567
4/02/2011 11:00,2211.551,26.565
4/02/2011 11:15,2211.551,26.567
4/02/2011 11:30,2211.544,26.557
4/02/2011 11:45,2211.535,26.547
4/02/2011 12:00,2211.535,26.551
4/02/2011 12:15,2211.53,26.547
4/02/2011 12:30,2211.521,26.54
4/02/2011 12:45,2211.513,26.536
4/02/2011 13:00,2211.509,26.53
4/02/2011 13:15,2211.499,26.521
4/02/2011 13:30,2211.492,26.521
4/02/2011 13:45,2211.485,26.516
4/02/2011 14:00,2211.476,26.514
4/02/2011 14:15,2211.464,26.506
4/02/2011 14:30,2211.455,26.5
4/02/2011 14:45,2211.45,26.502
4/02/2011 15:00,2211.441,26.494
4/02/2011 15:15,2211.429,26.484
4/02/2011 15:30,2211.425,26.484
4/02/2011 15:45,2211.415,26.474
4/02/2011 16:00,2211.408,26.473
4/02/2011 16:15,2211.399,26.465
4/02/2011 16:30,2211.399,26.466
4/02/2011 16:45,2211.401,26.469
4/02/2011 17:00,2211.399,26.466
4/02/2011 17:15,2211.399,26.47
4/02/2011 17:30,2211.396,26.47
4/02/2011 17:45,2211.394,26.465
4/02/2011 18:00,2211.392,26.461
4/02/2011 18:15,2211.387,26.454
4/02/2011 18:30,2211.389,26.454
4/02/2011 18:45,2211.389,26.455
4/02/2011 19:00,2211.396,26.457
4/02/2011 19:15,2211.399,26.459
4/02/2011 19:30,2211.404,26.465
4/02/2011 19:45,2211.408,26.466
4/02/2011 20:00,2211.415,26.47
4/02/2011 20:15,2211.425,26.478
4/02/2011 20:30,2211.429,26.478
4/02/2011 20:45,2211.434,26.482
4/02/2011 21:00,2211.434,26.478
4/02/2011 21:15,2211.434,26.475
4/02/2011 21:30,2211.439,26.473
4/02/2011 21:45,2211.443,26.477
4/02/2011 22:00,2211.448,26.481
4/02/2011 22:15,2211.462,26.494
4/02/2011 22:30,2211.464,26.496
4/02/2011 22:45,2211.462,26.496
4/02/2011 23:00,2211.462,26.49
4/02/2011 23:15,2211.464,26.492
4/02/2011 23:30,2211.464,26.494
4/02/2011 23:45,2211.46,26.49
4/03/2011 0:00,2211.457,26.488
4/03/2011 0:15,2211.457,26.489
4/03/2011 0:30,2211.46,26.493
4/03/2011 0:45,2211.46,26.493
4/03/2011 1:00,2211.46,26.493
4/03/2011 1:15,2211.46,26.497
4/03/2011 1:30,2211.455,26.493
4/03/2011 1:45,2211.455,26.496
